State,State Name,Year,Month,Indicator,Data Value,Predicted Value,Percent Complete,Percent Pending Investigation,Footnote
AK,AK,2015,September,Number of Deaths,4242,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,October,Number of Deaths,4241,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,November,Number of Deaths,4219,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,December,Number of Deaths,4193,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,January,Number of Deaths,4213,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,February,Number of Deaths,4198,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,March,Number of Deaths,4230,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,April,Number of Deaths,4262,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,May,Number of Deaths,4241,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,June,Number of Deaths,4261,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,July,Number of Deaths,4269,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,August,Number of Deaths,4276,,100,0.023386342376052,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,September,Number of Deaths,4256,,100,0.046992481203008,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,October,Number of Deaths,4291,,100,0.069913773013284,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,November,Number of Deaths,4289,,100,0.069946374446258,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,December,Number of Deaths,4355,,100,0.068886337543054,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,January,Number of Deaths,4374,,100,0.068587105624143,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,February,Number of Deaths,4347,,100,0.069013112491373,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,March,Number of Deaths,4359,,100,0.068823124569856,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,April,Number of Deaths,4325,,100,0.069364161849711,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,May,Number of Deaths,4277,,100,0.070142623334113,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,June,Number of Deaths,4276,,100,0.070159027128157,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,July,Number of Deaths,4236,,100,0.070821529745042,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,August,Number of Deaths,4234,,100,0.04723665564478,Numbers may differ from published reports using final data. See Technical Notes.
NM,NM,2018,July,Number of Deaths,18164,,100,0.330323717242898,Underreported due to incomplete data.
OK,OK,2018,July,Number of Deaths,39951,,100,0.075091987684914,Underreported due to incomplete data.
AK,AK,2015,July,Number of Deaths,4220,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,August,Number of Deaths,4222,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
OR,OR,2018,February,Number of Deaths,36152,,100,0.049789776499226,Underreported due to incomplete data.
OR,OR,2018,March,Number of Deaths,36276,,100,0.04686293968464,Underreported due to incomplete data.
AK,AK,2015,September,Number of Deaths,4242,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
OR,OR,2018,April,Number of Deaths,36351,,100,0.046766251272317,Underreported due to incomplete data.
OR,OR,2018,May,Number of Deaths,36192,,100,0.04973474801061,Underreported due to incomplete data.
OR,OR,2018,June,Number of Deaths,36294,,100,0.052350250730148,Underreported due to incomplete data.
OR,OR,2018,July,Number of Deaths,36179,,100,0.069100859614694,Underreported due to incomplete data.
AK,AK,2015,October,Number of Deaths,4241,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
PA,PA,2018,June,Number of Drug Overdose Deaths,4755,5006,100,0.342255375164546,Underreported due to incomplete data.
PA,PA,2018,July,Number of Drug Overdose Deaths,4686,4959,100,0.367044922788957,Underreported due to incomplete data.
AK,AK,2015,November,Number of Deaths,4219,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,December,Number of Deaths,4193,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,January,Number of Deaths,4213,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,February,Number of Deaths,4198,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
RI,RI,2018,June,Methadone (T40.3),26,29,100,0.56006179992275,Underreported due to incomplete data.
AK,AK,2016,March,Number of Deaths,4230,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,April,Number of Deaths,4262,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
RI,RI,2018,July,Methadone (T40.3),25,28,100,0.732318365773752,Underreported due to incomplete data.
RI,RI,2018,May,Percent with drugs specified,99.685534591195,,100,0.308731307284129,Underreported due to incomplete data.
AK,AK,2017,September,Number of Deaths,4299,,100,0.023261223540358,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,October,Number of Deaths,4283,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,November,Number of Deaths,4308,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,December,Number of Deaths,4279,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2018,January,Number of Deaths,4260,,100,0,Underreported due to incomplete data.
AK,AK,2018,February,Number of Deaths,4304,,100,0,Underreported due to incomplete data.
RI,RI,2018,June,Percent with drugs specified,99.6677740863787,,100,0.56006179992275,Underreported due to incomplete data.
RI,RI,2018,July,Percent with drugs specified,99.3055555555556,,100,0.732318365773752,Underreported due to incomplete data.
SC,SC,2018,June,Methadone (T40.3),52,54,100,0.202967383141529,Underreported due to incomplete data.
AK,AK,2016,May,Number of Deaths,4241,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,June,Number of Deaths,4261,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,July,Number of Deaths,4269,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,August,Number of Deaths,4276,,100,0.023386342376052,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,September,Number of Deaths,4256,,100,0.046992481203008,Numbers may differ from published reports using final data. See Technical Notes.
SC,SC,2018,July,Methadone (T40.3),53,56,100,0.23538483391165,Underreported due to incomplete data.
SC,SC,2018,May,Percent with drugs specified,98.2456140350877,,100,0.180183827995303,Underreported due to incomplete data.
SC,SC,2018,June,Percent with drugs specified,98.3251231527094,,100,0.202967383141529,Underreported due to incomplete data.
SC,SC,2018,July,Percent with drugs specified,98.3414634146341,,100,0.23538483391165,Underreported due to incomplete data.
AK,AK,2016,October,Number of Deaths,4291,,100,0.069913773013284,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,November,Number of Deaths,4289,,100,0.069946374446258,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,December,Number of Deaths,4355,,100,0.068886337543054,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,January,Number of Deaths,4374,,100,0.068587105624143,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,February,Number of Deaths,4347,,100,0.069013112491373,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,March,Number of Deaths,4359,,100,0.068823124569856,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,April,Number of Deaths,4325,,100,0.069364161849711,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,May,Number of Deaths,4277,,100,0.070142623334113,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,June,Number of Deaths,4276,,100,0.070159027128157,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,July,Number of Deaths,4236,,100,0.070821529745042,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,August,Number of Deaths,4234,,100,0.04723665564478,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,September,Number of Deaths,4299,,100,0.023261223540358,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,October,Number of Deaths,4283,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,November,Number of Deaths,4308,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,December,Number of Deaths,4279,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2018,January,Number of Deaths,4260,,100,0,Underreported due to incomplete data.
AK,AK,2018,February,Number of Deaths,4304,,100,0,Underreported due to incomplete data.
AK,AK,2018,March,Number of Deaths,4286,,100,0,Underreported due to incomplete data.
AK,AK,2018,April,Number of Deaths,4341,,100,0,Underreported due to incomplete data.
AK,AK,2018,May,Number of Deaths,4351,,100,0,Underreported due to incomplete data.
AK,AK,2018,June,Number of Deaths,4307,,100,0,Underreported due to incomplete data.
AK,AK,2018,July,Number of Deaths,4333,,100,0,Underreported due to incomplete data.
AK,AK,2015,January,Number of Drug Overdose Deaths,126,127,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,February,Number of Drug Overdose Deaths,127,128,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,March,Number of Drug Overdose Deaths,125,126,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,April,Number of Drug Overdose Deaths,126,127,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,May,Number of Drug Overdose Deaths,125,126,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,June,Number of Drug Overdose Deaths,121,122,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,July,Number of Drug Overdose Deaths,117,118,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,August,Number of Drug Overdose Deaths,124,125,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,September,Number of Drug Overdose Deaths,125,126,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,October,Number of Drug Overdose Deaths,120,121,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,November,Number of Drug Overdose Deaths,115,116,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,December,Number of Drug Overdose Deaths,121,122,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,January,Number of Drug Overdose Deaths,126,127,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,February,Number of Drug Overdose Deaths,128,129,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,March,Number of Drug Overdose Deaths,125,126,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,April,Number of Drug Overdose Deaths,132,133,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,May,Number of Drug Overdose Deaths,140,141,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,June,Number of Drug Overdose Deaths,138,139,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,July,Number of Drug Overdose Deaths,143,144,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,August,Number of Drug Overdose Deaths,138,139,100,0.023386342376052,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,September,Number of Drug Overdose Deaths,131,133,100,0.046992481203008,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,October,Number of Drug Overdose Deaths,131,133,100,0.069913773013284,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,November,Number of Drug Overdose Deaths,133,135,100,0.069946374446258,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,December,Number of Drug Overdose Deaths,129,131,100,0.068886337543054,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,January,Number of Drug Overdose Deaths,126,128,100,0.068587105624143,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,February,Number of Drug Overdose Deaths,124,126,100,0.069013112491373,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,March,Number of Drug Overdose Deaths,126,128,100,0.068823124569856,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,April,Number of Drug Overdose Deaths,117,119,100,0.069364161849711,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,May,Number of Drug Overdose Deaths,120,122,100,0.070142623334113,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,June,Number of Drug Overdose Deaths,122,124,100,0.070159027128157,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,July,Number of Drug Overdose Deaths,128,130,100,0.070821529745042,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,August,Number of Drug Overdose Deaths,137,139,100,0.04723665564478,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,September,Number of Drug Overdose Deaths,148,149,100,0.023261223540358,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,October,Number of Drug Overdose Deaths,144,145,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,November,Number of Drug Overdose Deaths,138,139,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,December,Number of Drug Overdose Deaths,141,142,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2018,January,Number of Drug Overdose Deaths,138,138,100,0,Underreported due to incomplete data.
AK,AK,2018,February,Number of Drug Overdose Deaths,138,138,100,0,Underreported due to incomplete data.
AK,AK,2018,March,Number of Drug Overdose Deaths,135,136,100,0,Underreported due to incomplete data.
AK,AK,2018,April,Number of Drug Overdose Deaths,141,142,100,0,Underreported due to incomplete data.
AK,AK,2018,May,Number of Drug Overdose Deaths,125,126,100,0,Underreported due to incomplete data.
AK,AK,2018,June,Number of Drug Overdose Deaths,124,125,100,0,Underreported due to incomplete data.
AK,AK,2018,July,Number of Drug Overdose Deaths,115,116,100,0,Underreported due to incomplete data.
AL,AL,2015,January,Number of Deaths,49543,,100,0.337080919605191,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,February,Number of Deaths,50004,,100,0.323974082073434,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,March,Number of Deaths,50486,,100,0.30899655349998,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,April,Number of Deaths,50565,,100,0.316424404232176,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,May,Number of Deaths,50516,,100,0.318710903476126,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,June,Number of Deaths,50658,,100,0.341505783884085,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,July,Number of Deaths,50841,,100,0.330441966129699,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,August,Number of Deaths,50930,,100,0.331827999214608,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,September,Number of Deaths,51044,,100,0.323250528955411,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,October,Number of Deaths,51091,,100,0.309252118768472,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,November,Number of Deaths,51093,,100,0.2935822911162,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,December,Number of Deaths,50870,,100,0.310595635934736,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,January,Number of Deaths,50534,,100,0.302766454268413,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,February,Number of Deaths,50555,,100,0.282860251211552,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,March,Number of Deaths,50348,,100,0.282037022324621,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,April,Number of Deaths,50391,,100,0.27981187116747,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,May,Number of Deaths,50511,,100,0.283106650036626,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,June,Number of Deaths,50613,,100,0.264754114555549,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,July,Number of Deaths,50683,,100,0.278199790856895,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,August,Number of Deaths,50756,,100,0.264008196075341,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,September,Number of Deaths,50810,,100,0.265695729187168,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,October,Number of Deaths,50869,,100,0.287011736027836,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,November,Number of Deaths,51110,,100,0.275875562512229,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,December,Number of Deaths,51431,,100,0.270265015263168,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,January,Number of Deaths,51652,,100,0.259428482924185,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,February,Number of Deaths,51542,,100,0.256101819875053,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,March,Number of Deaths,51668,,100,0.251606410157157,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,April,Number of Deaths,51794,,100,0.231687068000154,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,May,Number of Deaths,51943,,100,0.213695781914791,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,June,Number of Deaths,52000,,100,0.205769230769231,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,July,Number of Deaths,52035,,100,0.188334774670895,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,August,Number of Deaths,52075,,100,0.184349495919347,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,September,Number of Deaths,52232,,100,0.174222698728749,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,October,Number of Deaths,52267,,100,0.158800007653012,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,November,Number of Deaths,52254,,100,0.162666972863321,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,December,Number of Deaths,52307,,100,0.141472460664921,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2018,January,Number of Deaths,53105,,100,0.152528010545146,Underreported due to incomplete data.
AL,AL,2018,February,Number of Deaths,53272,,100,0.161435650998648,Underreported due to incomplete data.
AL,AL,2018,March,Number of Deaths,53222,,100,0.169103002517756,Underreported due to incomplete data.
AL,AL,2018,April,Number of Deaths,53239,,100,0.180318939123575,Underreported due to incomplete data.
AL,AL,2018,May,Number of Deaths,53273,,100,0.206483584555028,Underreported due to incomplete data.
AL,AL,2018,June,Number of Deaths,53353,,100,0.217419826439001,Underreported due to incomplete data.
AL,AL,2018,July,Number of Deaths,53445,,100,0.237627467489943,Underreported due to incomplete data.
AL,AL,2015,January,Number of Drug Overdose Deaths,715,751,100,0.337080919605191,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,February,Number of Drug Overdose Deaths,723,758,100,0.323974082073434,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,March,Number of Drug Overdose Deaths,733,767,100,0.30899655349998,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,April,Number of Drug Overdose Deaths,738,773,100,0.316424404232176,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,May,Number of Drug Overdose Deaths,755,791,100,0.318710903476126,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,June,Number of Drug Overdose Deaths,756,795,100,0.341505783884085,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,July,Number of Drug Overdose Deaths,743,780,100,0.330441966129699,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,August,Number of Drug Overdose Deaths,736,773,100,0.331827999214608,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,September,Number of Drug Overdose Deaths,744,780,100,0.323250528955411,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,October,Number of Drug Overdose Deaths,730,764,100,0.309252118768472,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,November,Number of Drug Overdose Deaths,725,757,100,0.2935822911162,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,December,Number of Drug Overdose Deaths,720,754,100,0.310595635934736,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,January,Number of Drug Overdose Deaths,706,738,100,0.302766454268413,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,February,Number of Drug Overdose Deaths,710,740,100,0.282860251211552,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,March,Number of Drug Overdose Deaths,681,710,100,0.282037022324621,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,April,Number of Drug Overdose Deaths,676,705,100,0.27981187116747,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,May,Number of Drug Overdose Deaths,654,682,100,0.283106650036626,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,June,Number of Drug Overdose Deaths,674,701,100,0.264754114555549,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,July,Number of Drug Overdose Deaths,681,710,100,0.278199790856895,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,August,Number of Drug Overdose Deaths,685,712,100,0.264008196075341,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,September,Number of Drug Overdose Deaths,695,723,100,0.265695729187168,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,October,Number of Drug Overdose Deaths,704,734,100,0.287011736027836,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,November,Number of Drug Overdose Deaths,718,748,100,0.275875562512229,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,December,Number of Drug Overdose Deaths,740,770,100,0.270265015263168,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,January,Number of Drug Overdose Deaths,763,793,100,0.259428482924185,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,February,Number of Drug Overdose Deaths,759,788,100,0.256101819875053,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,March,Number of Drug Overdose Deaths,794,824,100,0.251606410157157,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,April,Number of Drug Overdose Deaths,795,823,100,0.231687068000154,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,May,Number of Drug Overdose Deaths,812,838,100,0.213695781914791,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,June,Number of Drug Overdose Deaths,804,829,100,0.205769230769231,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,July,Number of Drug Overdose Deaths,809,832,100,0.188334774670895,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,August,Number of Drug Overdose Deaths,808,831,100,0.184349495919347,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,September,Number of Drug Overdose Deaths,800,821,100,0.174222698728749,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,October,Number of Drug Overdose Deaths,801,821,100,0.158800007653012,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,November,Number of Drug Overdose Deaths,799,819,100,0.162666972863321,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,December,Number of Drug Overdose Deaths,807,825,100,0.141472460664921,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2018,January,Number of Drug Overdose Deaths,786,800,100,0.152528010545146,Underreported due to incomplete data.
AL,AL,2018,February,Number of Drug Overdose Deaths,797,815,100,0.161435650998648,Underreported due to incomplete data.
AL,AL,2018,March,Number of Drug Overdose Deaths,782,803,100,0.169103002517756,Underreported due to incomplete data.
AL,AL,2018,April,Number of Drug Overdose Deaths,780,801,100,0.180318939123575,Underreported due to incomplete data.
AL,AL,2018,May,Number of Drug Overdose Deaths,783,808,100,0.206483584555028,Underreported due to incomplete data.
AL,AL,2018,June,Number of Drug Overdose Deaths,760,787,100,0.217419826439001,Underreported due to incomplete data.
AL,AL,2018,July,Number of Drug Overdose Deaths,753,783,100,0.237627467489943,Underreported due to incomplete data.
AR,AR,2015,January,Number of Deaths,30122,,100,0.049797490206494,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,February,Number of Deaths,30332,,100,0.046155874983516,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,March,Number of Deaths,30387,,100,0.046072333563695,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,April,Number of Deaths,30444,,100,0.039416633819472,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,May,Number of Deaths,30602,,100,0.042480883602379,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,June,Number of Deaths,30722,,100,0.042314953453551,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,July,Number of Deaths,30685,,100,0.04888381945576,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,August,Number of Deaths,30884,,100,0.04856883823339,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,September,Number of Deaths,30931,,100,0.061427047298826,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,October,Number of Deaths,31015,,100,0.058036433983556,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,November,Number of Deaths,31007,,100,0.061276485954784,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,December,Number of Deaths,30986,,100,0.070999806364164,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,January,Number of Deaths,30624,,100,0.07183908045977,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,February,Number of Deaths,30413,,100,0.072337487258738,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,March,Number of Deaths,30421,,100,0.075605667137832,Numbers may differ from published reports using final data. See Technical Notes.
